Nickname,Defender Score,Attacker Score,Time (sec),Winner,Level
Akame,8,5,162,Defender,Intermediate
Hatsune Miku,7,6,204,Defender,Beginner
Chooth,5,8,172,Attacker,Beginner
Koshi,6,7,128,Attacker,Beginner
Smiley,6,7,115,Attacker,Beginner
Remzz,7,6,143,Defender,Expert
Remzz,8,5,121,Defender,Expert
Remzz,9,4,117,Defender,Expert
Remzz,9,4,116,Defender,Expert
Remzz,10,3,103,Defender,Expert
Remzz,13,0,94,Defender,Expert
Remzz,11,2,83,Defender,Expert
Remzz,11,2,76,Defender,Expert
Remzz,9,4,73,Defender,Expert
Remzz,9,4,537,Defender,Beginner
Remzz,7,6,324,Defender,Beginner
u21562832,7,6,143,Defender,Expert
u21562832,7,6,127,Defender,Expert
u21562832,7,6,111,Defender,Expert
u21562832,9,4,111,Defender,Expert
u21562832,7,6,105,Defender,Expert
u21562832,7,6,94,Defender,Expert
u21562832,7,6,185,Defender,Intermediate
u21562832,5,8,183,Attacker,Beginner
u21562832,6,7,180,Attacker,Beginner
u21562832,6,7,157,Attacker,Beginner
u21562832,6,7,131,Attacker,Beginner
MissSA,8,5,152,Defender,Expert
Kanye,7,6,141,Defender,Expert
Olympics,7,6,172,Defender,Intermediate
Hi,4,9,755,Attacker,Beginner
Nothando,6,7,667,Attacker,Beginner
Wow,10,3,206,Defender,Beginner
Yoo,8,5,205,Defender,Beginner
Minister,6,7,203,Attacker,Beginner
Hellen,5,8,203,Attacker,Beginner
Doja,5,8,170,Attacker,Beginner
Runner,5,8,142,Attacker,Beginner
khomii,7,6,133,Defender,Expert
pabii,9,4,110,Defender,Expert
mcking,11,2,109,Defender,Expert
king,9,4,100,Defender,Expert
khomii,9,4,92,Defender,Expert
khomii,8,5,165,Defender,Intermediate
khomii,8,5,164,Defender,Intermediate
mcking,7,6,280,Defender,Beginner
king,6,7,230,Attacker,Beginner
pabii,6,7,221,Attacker,Beginner
mcking,7,6,202,Defender,Beginner
joe,7,6,87,Defender,Expert
sea,7,6,211,Defender,Beginner
jack,6,7,124,Attacker,Beginner
joe,6,7,112,Attacker,Beginner
james,4,9,112,Attacker,Beginner
sea,6,7,109,Attacker,Beginner
james,6,7,90,Attacker,Beginner
sarah,6,7,86,Attacker,Beginner
amy,4,9,82,Attacker,Beginner
sarah,5,8,82,Attacker,Beginner
joe,5,8,59,Attacker,Beginner
joe,6,7,58,Attacker,Beginner
Rengoku,7,6,148,Defender,Expert
KatLeo,8,5,138,Defender,Expert
Saitama,8,5,132,Defender,Expert
Descii,7,6,194,Defender,Intermediate
Madara,7,6,161,Defender,Intermediate
santara,7,6,401,Defender,Beginner
Lloyd,8,5,346,Defender,Beginner
Muzan,7,6,201,Defender,Beginner
Doflamingo,6,7,189,Attacker,Beginner
Ghost_12,5,8,183,Attacker,Beginner
Kir@,4,9,162,Attacker,Beginner
u21475653,10,3,160,Defender,Expert
u21475653,9,4,154,Defender,Expert
u21475653,7,6,140,Defender,Expert
u21475653,7,6,139,Defender,Expert
u21475653,7,6,173,Defender,Intermediate
u21475653,7,6,205,Defender,Beginner
u21475653,5,8,174,Attacker,Beginner
u21475653,6,7,164,Attacker,Beginner
u21475653,6,7,85,Attacker,Beginner
u21475653,5,8,85,Attacker,Beginner
u21475653,2,11,67,Attacker,Beginner
Hercules,7,6,141,Defender,Expert
Dragon Fly,9,4,131,Defender,Expert
Zeus,7,5,104,Defender,Expert
Achilies,11,2,103,Defender,Expert
Jonika,9,4,200,Defender,Intermediate
King Candy,7,6,196,Defender,Intermediate
Vegeta,6,7,405,Attacker,Beginner
David,4,9,347,Attacker,Beginner
Ice Queen,9,4,281,Defender,Beginner
Morgana,10,3,225,Defender,Beginner
Soraka,9,4,201,Defender,Beginner
Sharon,4,8,176,Attacker,Beginner
David,4,9,168,Attacker,Beginner
Josh,6,7,145,Attacker,Beginner
Zorg,6,7,112,Attacker,Beginner
Thendo,7,6,149,Defender,Expert
Thendo,8,5,129,Defender,Expert
Thendo,9,4,93,Defender,Expert
Thendo,8,5,83,Defender,Expert
Thendo,7,6,68,Defender,Expert
Thendo,5,8,733,Attacker,Beginner
Thendo,3,10,622,Attacker,Beginner
Thendo,6,7,103,Attacker,Beginner
Thendo,6,7,95,Attacker,Beginner
Thendo,3,10,92,Attacker,Beginner
Thendo,6,7,74,Attacker,Beginner
Rue,7,6,108,Defender,Expert
Rue,7,6,102,Defender,Expert
Rue,4,9,272,Attacker,Beginner
Rue,7,6,238,Defender,Beginner
Rue,5,8,136,Attacker,Beginner
Rue,3,10,126,Attacker,Beginner
Rue,5,8,125,Attacker,Beginner
Rue,5,8,114,Attacker,Beginner
Rue,3,10,97,Attacker,Beginner
Rue,4,9,92,Attacker,Beginner
Rue,6,7,89,Attacker,Beginner
TD3S,7,6,160,Defender,Expert
TD3S,11,2,152,Defender,Expert
TD3S,8,5,133,Defender,Expert
TD3S,9,4,182,Defender,Intermediate
TD3S,8,5,169,Defender,Intermediate
TD3S,7,6,169,Defender,Intermediate
TD3S,7,6,164,Defender,Intermediate
TD3S,7,6,162,Defender,Intermediate
TD3S,5,8,314,Attacker,Beginner
TD3S,7,6,237,Defender,Beginner
TD3S,8,5,220,Defender,Beginner
Varcolac,8,5,76,Defender,Expert
Varcolac,7,6,60,Defender,Expert
Varcolac,5,8,201,Attacker,Beginner
Varcolac,6,7,107,Attacker,Beginner
Varcolac,4,9,84,Attacker,Beginner
Varcolac,3,10,63,Attacker,Beginner
Varcolac,6,7,57,Attacker,Beginner
Varcolac,3,9,55,Attacker,Beginner
Varcolac,4,8,55,Attacker,Beginner
Varcolac,6,7,53,Attacker,Beginner
Varcolac,6,7,50,Attacker,Beginner
u18003690_SeanBennett,7,6,142,Defender,Expert
u18003690_SeanBennett,7,6,132,Defender,Expert
u18003690_SeanBennett,7,6,87,Defender,Expert
u18003690_SeanBennett,6,7,203,Attacker,Beginner
u18003690_SeanBennett,5,8,157,Attacker,Beginner
u18003690_SeanBennett,6,7,145,Attacker,Beginner
u18003690_SeanBennett,5,7,126,Attacker,Beginner
u18003690_SeanBennett,5,8,123,Attacker,Beginner
u18003690_SeanBennett,5,8,122,Attacker,Beginner
u18003690_SeanBennett,5,8,88,Attacker,Beginner
u18003690_SeanBennett,5,8,78,Attacker,Beginner
u18003690_SeanBennett,6,7,70,Attacker,Beginner
ange,10,3,113,Defender,Expert
GettingBetterAtThisNow,7,6,100,Defender,Expert
OkaySoItsBasicallyJustTiming,10,3,92,Defender,Expert
10andcounting,10,3,89,Defender,Expert
num9,7,6,89,Defender,Expert
4moreleft,7,5,80,Defender,Expert
OkayNVM,8,5,80,Defender,Expert
ONEMORETIMEDUNDUNDUN,9,4,78,Defender,Expert
pips,8,5,194,Defender,Intermediate
pips2,10,3,170,Defender,Intermediate
Angel,6,7,221,Attacker,Beginner
Anele,8,5,148,Defender,Expert
Themba,8,5,139,Defender,Expert
Thato,9,4,139,Defender,Expert
Keo,7,6,133,Defender,Expert
Dineo,8,5,168,Defender,Intermediate
Rori,9,4,164,Defender,Intermediate
Mphoentle Molekoa,4,9,440,Attacker,Beginner
Boity,1,12,203,Attacker,Beginner
Lebo Kekana,5,8,200,Attacker,Beginner
Vuyo,6,7,167,Attacker,Beginner
Oratile,6,7,156,Attacker,Beginner
MythicalElk,8,5,99,Defender,Expert
MythicalElk,7,6,80,Defender,Expert
MythicalElk,7,6,171,Defender,Intermediate
MythicalElk,6,7,289,Attacker,Beginner
MythicalElk,6,6,172,Draw,Beginner
MythicalElk,6,7,139,Attacker,Beginner
MythicalElk,6,7,135,Attacker,Beginner
MythicalElk,6,7,125,Attacker,Beginner
MythicalElk,6,7,117,Attacker,Beginner
MythicalElk,4,9,116,Attacker,Beginner
MythicalElk,4,9,71,Attacker,Beginner
Saajid,7,6,107,Defender,Expert
Dadoo,7,5,97,Defender,Expert
Mahomed,7,6,83,Defender,Expert
Dadoo,7,6,198,Defender,Intermediate
Mo,4,9,171,Attacker,Beginner
Mahomed,4,9,116,Attacker,Beginner
Mahomed Saajid,6,7,110,Attacker,Beginner
Cassim,6,7,95,Attacker,Beginner
Saajid,4,9,89,Attacker,Beginner
Mo,6,7,84,Attacker,Beginner
Mahomed Saajid,6,7,76,Attacker,Beginner
Cassim,6,7,75,Attacker,Beginner
meow,7,6,154,Defender,Expert
wow,10,3,116,Defender,Expert
zun,11,2,102,Defender,Expert
pawl,7,5,246,Defender,Beginner
opti,3,10,230,Attacker,Beginner
opti,5,8,189,Attacker,Beginner
lee,4,9,177,Attacker,Beginner
red,6,7,158,Attacker,Beginner
rodeo,5,8,113,Attacker,Beginner
bunz,4,9,106,Attacker,Beginner
doze,5,8,105,Attacker,Beginner
Rye,9,4,143,Defender,Expert
Rye,8,5,140,Defender,Expert
Rye,10,3,85,Defender,Expert
Rye,9,4,77,Defender,Expert
Rye,9,4,73,Defender,Expert
Rye,8,5,63,Defender,Expert
Rye,8,5,179,Defender,Intermediate
Rye,4,9,803,Attacker,Beginner
Rye,5,8,474,Attacker,Beginner
Rye,6,7,383,Attacker,Beginner
Rye,7,6,281,Defender,Beginner
Rye,7,6,205,Defender,Beginner
u18045872,8,5,116,Defender,Expert
u18045872,7,6,109,Defender,Expert
u18045872,12,1,101,Defender,Expert
u18045872,11,2,99,Defender,Expert
u18045872,8,5,99,Defender,Expert
u18045872,11,2,91,Defender,Expert
u18045872,8,5,87,Defender,Expert
u18045872,9,4,86,Defender,Expert
u18045872,8,5,83,Defender,Expert
u18045872,9,4,181,Defender,Intermediate
u18045872,6,7,266,Attacker,Beginner
u19068035,8,5,136,Defender,Expert
u19068035,8,5,115,Defender,Expert
u19068035,7,6,101,Defender,Expert
u19068035,7,6,96,Defender,Expert
u19068035,6,7,208,Attacker,Beginner
u19068035,5,8,128,Attacker,Beginner
u19068035,4,9,104,Attacker,Beginner
u19068035,6,7,100,Attacker,Beginner
u19068035,5,8,96,Attacker,Beginner
u19068035,6,7,94,Attacker,Beginner
u19068035,5,8,87,Attacker,Beginner
u19068035,3,10,76,Attacker,Beginner
Apple,8,5,143,Defender,Expert
Lenovo,8,5,101,Defender,Expert
Casio,8,5,282,Defender,Beginner
John,5,8,156,Attacker,Beginner
Jimmy,6,7,149,Attacker,Beginner
Samsung,5,8,122,Attacker,Beginner
Astro,6,7,112,Attacker,Beginner
BlueCo,6,7,94,Attacker,Beginner
qwerty,5,8,79,Attacker,Beginner
Vicky,4,9,73,Attacker,Beginner
Jumper,6,7,72,Attacker,Beginner
Penflex,5,8,67,Attacker,Beginner
Jirad,8,5,147,Defender,Expert
Bayel,7,6,114,Defender,Expert
Jaded,7,6,495,Defender,Beginner
Vick,7,6,260,Defender,Beginner
Kruger,7,6,242,Defender,Beginner
Ribac,3,10,212,Attacker,Beginner
Suiker,3,10,180,Attacker,Beginner
Jack,6,7,156,Attacker,Beginner
Zaira,6,7,124,Attacker,Beginner
AbbyM,5,8,118,Attacker,Beginner
Willy,4,9,115,Attacker,Beginner
SihleM,5,8,473,Attacker,Beginner
BellaM,5,8,400,Attacker,Beginner
SfisoM,6,7,377,Attacker,Beginner
MbonsM,7,6,334,Defender,Beginner
NomsM,6,7,282,Attacker,Beginner
BellaM,7,6,273,Defender,Beginner
SfisoM,10,3,263,Defender,Beginner
SihleM,5,8,255,Attacker,Beginner
hhhaaaM,9,4,230,Defender,Beginner
MbonsM,9,4,220,Defender,Beginner
hhhaaa,4,9,199,Attacker,Beginner
Mikasa,7,6,128,Defender,Expert
Makima,8,5,126,Defender,Expert
LeviAckerman,8,5,121,Defender,Expert
LoidForger,7,6,117,Defender,Expert
YorForger,11,2,110,Defender,Expert
ErenJaeger,7,6,110,Defender,Expert
AnyaForger,11,2,84,Defender,Expert
Itachi,8,5,194,Defender,Intermediate
ArminArlet,9,4,167,Defender,Intermediate
SlimShady,6,7,198,Attacker,Beginner
ZekeJaeger,5,8,143,Attacker,Beginner
DoomsDay,9,4,104,Defender,Expert
DoomsDay,4,9,264,Attacker,Beginner
DoomsDay,7,6,242,Defender,Beginner
DoomsDay,4,9,180,Attacker,Beginner
DoomsDay,5,8,158,Attacker,Beginner
DoomsDay,6,7,143,Attacker,Beginner
DoomsDay,4,9,125,Attacker,Beginner
DoomsDay,3,10,123,Attacker,Beginner
DoomsDay,4,9,112,Attacker,Beginner
DoomsDay,6,7,111,Attacker,Beginner
DoomsDay,6,6,102,Draw,Beginner
Player #9,7,5,149,Defender,Expert
Player #3,7,6,143,Defender,Expert
Player #8,7,6,136,Defender,Expert
Player #4,7,6,168,Defender,Intermediate
Player #10,9,4,876,Defender,Beginner
Player #11,7,6,249,Defender,Beginner
Player #1,6,7,215,Attacker,Beginner
Player #7,4,9,147,Attacker,Beginner
Player #2,5,8,137,Attacker,Beginner
Player #6,5,8,131,Attacker,Beginner
Player #5,6,7,120,Attacker,Beginner
JoshP,7,6,151,Defender,Expert
JoshP,5,8,351,Attacker,Beginner
Greg,8,5,246,Defender,Beginner
JoshP,6,7,238,Attacker,Beginner
Han,4,9,200,Attacker,Beginner
Greg,6,7,163,Attacker,Beginner
JoshP,4,9,163,Attacker,Beginner
Han,5,8,163,Attacker,Beginner
Mikey,6,7,161,Attacker,Beginner
JoshP,6,7,146,Attacker,Beginner
JoshP,4,9,125,Attacker,Beginner
kamo,7,6,171,Defender,Intermediate
jake,6,7,337,Attacker,Beginner
kgomo,6,7,327,Attacker,Beginner
billy,6,7,285,Attacker,Beginner
mpho,6,7,146,Attacker,Beginner
victor,5,8,138,Attacker,Beginner
animal,4,9,123,Attacker,Beginner
kevin,3,10,123,Attacker,Beginner
dsae,2,11,121,Attacker,Beginner
Jetty,5,8,114,Attacker,Beginner
jake,0,13,103,Attacker,Beginner
ShatterMachine,8,5,141,Defender,Expert
TimelessStorm,7,6,133,Defender,Expert
Takesoup,8,5,133,Defender,Expert
TheBountyHunter,11,2,118,Defender,Expert
TheBountyHunter,11,2,102,Defender,Expert
LearningTree,7,6,169,Defender,Intermediate
TimelessStorm,6,7,195,Attacker,Beginner
AmericanDragon,5,8,186,Attacker,Beginner
Takesoup,5,8,178,Attacker,Beginner
LearningTree,5,8,168,Attacker,Beginner
AmericanDragon,6,7,146,Attacker,Beginner
Simz,4,9,537,Attacker,Beginner
Green,5,8,321,Attacker,Beginner
noob v2,7,6,155,Defender,Expert
i am nooby,7,6,145,Defender,Expert
lets_win,8,5,124,Defender,Expert
#winning_streak,12,1,108,Defender,Expert
its the final countdown,9,4,98,Defender,Expert
ghost_protocol,12,1,88,Defender,Expert
noob,2,11,252,Attacker,Beginner
Gamer Pro,7,6,219,Defender,Beginner
dwarph,5,8,206,Attacker,Beginner
the phantom,6,7,168,Attacker,Beginner
can_i_win_?,5,8,124,Attacker,Beginner
Cameron,7,6,58,Defender,Expert
Cameron,7,6,51,Defender,Expert
Cameron,7,6,47,Defender,Expert
Cameron,6,7,112,Attacker,Beginner
Cameron,3,10,70,Attacker,Beginner
Cameron,4,9,52,Attacker,Beginner
Cameron,5,8,52,Attacker,Beginner
Cameron,6,7,51,Attacker,Beginner
Cameron,5,8,48,Attacker,Beginner
Cameron,6,7,48,Attacker,Beginner
Player 08,7,6,75,Defender,Expert
Player 10,7,6,42,Defender,Expert
Player 01,6,7,199,Attacker,Beginner
Player 02,5,8,62,Attacker,Beginner
Player 07,4,9,51,Attacker,Beginner
Player 04,6,7,50,Attacker,Beginner
Player 03,5,8,47,Attacker,Beginner
Player 05,5,8,46,Attacker,Beginner
Player 06,4,9,44,Attacker,Beginner
Player 09,5,8,41,Attacker,Beginner
Sameer,7,6,110,Defender,Expert
Sameer,11,2,98,Defender,Expert
Sameer,8,5,98,Defender,Expert
Sameer,10,3,79,Defender,Expert
Sameer,9,4,78,Defender,Expert
Sameer,9,3,76,Defender,Expert
Sameer,10,3,74,Defender,Expert
Sameer,5,7,169,Attacker,Beginner
Sameer,6,7,137,Attacker,Beginner
Sameer,5,8,126,Attacker,Beginner
Sameer,3,10,116,Attacker,Beginner
luigi,8,5,137,Defender,Expert
koopa,8,5,124,Defender,Expert
lakitu,8,4,122,Defender,Expert
boo,9,4,114,Defender,Expert
peach,7,6,111,Defender,Expert
toad,8,5,103,Defender,Expert
daisy,11,2,103,Defender,Expert
mario,7,6,173,Defender,Intermediate
donkeykong,9,4,171,Defender,Intermediate
bowser,7,6,253,Defender,Beginner
yoshi,7,6,210,Defender,Beginner
Jack,4,9,394,Attacker,Beginner
Kayla,6,7,353,Attacker,Beginner
John,8,5,322,Defender,Beginner
Mia,7,6,295,Defender,Beginner
John,6,7,207,Attacker,Beginner
Kayla,6,7,200,Attacker,Beginner
Josh,6,7,198,Attacker,Beginner
Mike,6,7,189,Attacker,Beginner
Tee,6,7,175,Attacker,Beginner
Jack,6,7,153,Attacker,Beginner
Mia,5,7,146,Attacker,Beginner
Big Boy,10,3,145,Defender,Expert
Big Boy,7,6,139,Defender,Expert
Big Boy,12,1,120,Defender,Expert
Big Boy,10,3,168,Defender,Intermediate
Big Boy,8,5,161,Defender,Intermediate
Big Boy,5,8,263,Attacker,Beginner
Big Boy,10,3,248,Defender,Beginner
Big Boy,6,6,218,Draw,Beginner
Big Boy,7,5,211,Defender,Beginner
Big Boy,5,8,173,Attacker,Beginner
Big Boy,6,6,162,Draw,Beginner
Black Spider,11,2,159,Defender,Expert
Black Spider,9,4,147,Defender,Expert
Black Spider,8,5,144,Defender,Expert
willy,7,6,141,Defender,Expert
Black Spider,9,4,141,Defender,Expert
willy,7,6,137,Defender,Expert
Black Spider,7,6,135,Defender,Expert
Black Spider,9,4,199,Defender,Intermediate
Black Spider,8,5,171,Defender,Intermediate
Black Spider,9,4,165,Defender,Intermediate
Black Spider,8,5,248,Defender,Beginner
Luan,9,4,145,Defender,Expert
Luan,8,5,139,Defender,Expert
Luan,8,5,124,Defender,Expert
Luan,10,3,114,Defender,Expert
Luan,11,2,110,Defender,Expert
Luan,9,4,109,Defender,Expert
Luan,7,6,100,Defender,Expert
Luan,7,6,90,Defender,Expert
Luan,7,6,84,Defender,Expert
Luan,7,6,200,Defender,Intermediate
Luan,4,9,153,Attacker,Beginner
Bianca,10,3,152,Defender,Expert
Bianca,10,3,152,Defender,Expert
Bianca,10,3,142,Defender,Expert
Bianca,11,2,133,Defender,Expert
Bianca,8,4,127,Defender,Expert
Bianca,9,4,195,Defender,Intermediate
Bianca,10,3,182,Defender,Intermediate
Bianca,8,5,180,Defender,Intermediate
Bianca,8,5,164,Defender,Intermediate
Bianca,7,6,162,Defender,Intermediate
Bianca,6,7,260,Attacker,Beginner
u21618543,11,2,112,Defender,Expert
u21618543,10,3,105,Defender,Expert
u21618543,8,5,96,Defender,Expert
u21618543,7,6,174,Defender,Intermediate
u21618543,7,6,213,Defender,Beginner
u21618543,4,9,202,Attacker,Beginner
u21618543,6,7,113,Attacker,Beginner
u21618543,5,8,111,Attacker,Beginner
u21618543,5,8,108,Attacker,Beginner
u21618543,6,7,97,Attacker,Beginner
u21618543,6,7,79,Attacker,Beginner
aloe,7,6,143,Defender,Expert
Yara,10,3,124,Defender,Expert
Haya,12,1,110,Defender,Expert
Oud,7,6,194,Defender,Intermediate
lolo,4,9,419,Attacker,Beginner
kels,5,8,393,Attacker,Beginner
mimo,4,8,261,Attacker,Beginner
plam,7,6,250,Defender,Beginner
Rabbi,10,3,225,Defender,Beginner
bun,5,8,144,Attacker,Beginner
nano,5,8,139,Attacker,Beginner
u21681458,10,3,153,Defender,Expert
u21681458,7,6,149,Defender,Expert
u21681458,8,5,132,Defender,Expert
u21681458,9,4,124,Defender,Expert
u21681458,8,5,113,Defender,Expert
u21681458,13,0,112,Defender,Expert
u21681458,11,2,109,Defender,Expert
u21681458,10,3,93,Defender,Expert
u21681458,9,4,91,Defender,Expert
u21681458,7,6,177,Defender,Intermediate
u21681458,8,5,166,Defender,Intermediate
John,7,6,817,Defender,Beginner
Ben,7,6,316,Defender,Beginner
u22001876,6,7,315,Attacker,Beginner
Kabelo,8,5,311,Defender,Beginner
Alex,3,9,281,Attacker,Beginner
Kganshi,8,5,276,Defender,Beginner
u23896762,2,11,465,Attacker,Beginner
u23896762_Part3,7,6,219,Defender,Beginner
u23896762_Part2,5,7,209,Attacker,Beginner
King,8,5,142,Defender,Expert
Liya,11,2,132,Defender,Expert
King,9,4,117,Defender,Expert
Tony,9,4,115,Defender,Expert
TonyKing,12,1,105,Defender,Expert
Tony,9,4,103,Defender,Expert
Liya,9,4,173,Defender,Intermediate
Liya,8,5,335,Defender,Beginner
TonyKing,4,9,305,Attacker,Beginner
Tony,5,8,279,Attacker,Beginner
TonyKing,5,7,261,Attacker,Beginner
TonyKing,9,4,206,Defender,Beginner
Liya,6,7,131,Attacker,Beginner
makasi,4,9,322,Attacker,Beginner
makasi,4,9,310,Attacker,Beginner
makasi,6,7,305,Attacker,Beginner
makasi,6,6,293,Draw,Beginner
makasi,5,8,282,Attacker,Beginner
makasi,6,7,280,Attacker,Beginner
makasi,5,8,248,Attacker,Beginner
makasi,2,11,239,Attacker,Beginner
makasi,5,8,227,Attacker,Beginner
makasi,6,7,225,Attacker,Beginner
makasi,4,9,170,Attacker,Beginner
Fana,12,1,160,Defender,Expert
Buma,8,5,157,Defender,Expert
chewbaca,7,6,156,Defender,Expert
Ndinda,8,5,150,Defender,Expert
Jawa,8,5,179,Defender,Intermediate
Jawa,6,7,1484,Attacker,Beginner
Puki,5,8,1002,Attacker,Beginner
chewbaca,5,8,291,Attacker,Beginner
Puki,8,5,223,Defender,Beginner
Jawa,9,4,206,Defender,Beginner
Moi,6,7,152,Attacker,Beginner
Ben Dover,8,5,129,Defender,Expert
Cara,6,7,304,Attacker,Beginner
niel,6,7,228,Attacker,Beginner
u24012557,7,6,226,Defender,Beginner
COFFEEMAN,5,7,225,Attacker,Beginner
jonty,5,8,154,Attacker,Beginner
mikeoxlong,6,7,115,Attacker,Beginner
Hugh Jazz,6,7,109,Attacker,Beginner
smegm,5,8,107,Attacker,Beginner
GARDENER,6,7,103,Attacker,Beginner
Bruce Wayne,7,6,131,Defender,Expert
Vandal Savage,7,6,130,Defender,Expert
KK Masutha,6,6,165,Draw,Beginner
Shaq O'neil,4,8,135,Attacker,Beginner
Sade Adu,6,7,129,Attacker,Beginner
Michael Holt,4,9,125,Attacker,Beginner
Dr. Steven Strange,6,7,122,Attacker,Beginner
Tony Stark,6,7,122,Attacker,Beginner
Lex Luthor,6,7,121,Attacker,Beginner
Michael B Jordan,4,8,119,Attacker,Beginner
Miles Morales,6,7,114,Attacker,Beginner
Marcus Aurelius,2,10,113,Attacker,Beginner
KESS,6,7,537,Attacker,Beginner
Lulama,7,5,524,Defender,Beginner
OKLAMA,5,8,374,Attacker,Beginner
Darth,7,6,321,Defender,Beginner
Shaka,6,7,310,Attacker,Beginner
Deadpool,4,9,305,Attacker,Beginner
Vader,5,8,303,Attacker,Beginner
Sith,7,6,288,Defender,Beginner
Lulamela,5,8,287,Attacker,Beginner
Lu,6,7,283,Attacker,Beginner
NOZULU,6,7,270,Attacker,Beginner
